Stage	Discharge
2.103119933	77.02182278
3.867911876	322.8120513
5.01395984	563.5052475
2.170175931	86.93271909
2.365247924	97.12678387
2.346959925	94.01193074
2.313431926	88.63172989
2.417063923	99.10896313
2.374391924	99.10896313
4.087367869	328.4754207
4.087367869	311.4853127
3.526535887	243.5248808
2.212847929	82.11885517
1.975103937	61.16438868
2.313431926	98.25945773
2.264663928	87.78222449
2.82244791	141.8674015
2.218943929	83.25152903
4.474463857	421.9210145
5.379719828	668.27758
5.373623828	682.4360033
2.154935931	70.22577959
1.929383938	56.91686168
2.145791931	77.30499124
2.145791931	79.00400204
2.154935931	78.72083357
2.343911925	95.99411001
2.145791931	78.43766511
2.145791931	75.60598045
2.142743931	73.34063272
3.331463893	210.6773388
4.37387986	421.9210145
5.221223833	637.1290487
2.325623926	99.95846853
2.036063935	69.94261112
2.18846393	87.78222449
2.18846393	88.06539295
2.447543922	116.9485765
2.468879921	112.417881
2.270759927	95.14460461
2.636519916	131.3901683
3.974591873	308.653628
2.167127931	81.55251823
1.88366394	59.74854635
1.831847941	51.81982929
2.051303934	69.65944266
2.151887931	82.96836057
2.148839931	82.11885517
2.471927921	114.6832288
4.05688787	328.4754207
5.690615818	778.7132818
2.285999927	104.7723325
2.075687934	83.25152903
1.962911937	66.827758
2.307335926	101.9406478
2.359151925	110.4357018
2.557271918	130.8238313
3.76427988	291.6635201
4.901183843	532.3567163
1.911095939	57.76636708
1.767839943	50.40398696
1.722119945	46.72279691
1.761743944	51.25349236
1.990343936	70.79211652
1.86232794	58.04953555
3.465575889	236.4456692
1.591055949	33.98021593
1.911095939	65.9782526
1.88671194	61.16438868
1.819655942	51.81982929
1.87147194	55.78418782
1.917191939	57.20003015
2.093975933	74.19013812
4.242815864	362.4556366
4.67563185	484.218077
1.904999939	58.61587248
1.86232794	52.66933469
2.602991917	88.06539295
2.255519928	70.22577959
2.282951927	78.43766511
2.246375928	79.28717051
4.98957584	586.1587248
5.663183819	744.7330658
2.285999927	86.08321369
2.148839931	76.45548584
2.322575926	91.46341455
2.292095927	91.74658301
